X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
-86.64408227,32.53952745,1,Alabama,US,2021/11/29 17:23:09+00,32.53952745,-86.64408227,10517,,157,,Autauga,01001,"Autauga, Alabama, US",18824.392775958,,,84001001,USA
-87.72207058,30.7277499100001,2,Alabama,US,2021/11/29 17:23:09+00,30.72774991,-87.72207058,38085,,589,,Baldwin,01003,"Baldwin, Alabama, US",17060.5732101741,,,84001003,USA
-85.3871286,31.8682630000001,3,Alabama,US,2021/11/29 17:23:09+00,31.868263,-85.3871286,3695,,80,,Barbour,01005,"Barbour, Alabama, US",14967.9980555781,,,84001005,USA
-87.1251146,32.9964206400001,4,Alabama,US,2021/11/29 17:23:09+00,32.99642064,-87.1251146,4340,,94,,Bibb,01007,"Bibb, Alabama, US",19380.1911226221,,,84001007,USA
-86.5679059299999,33.9821091800001,5,Alabama,US,2021/11/29 17:23:09+00,33.98210918,-86.56790593,10717,,192,,Blount,01009,"Blount, Alabama, US",18533.1857641891,,,84001009,USA
-85.71265535,32.10030533,6,Alabama,US,2021/11/29 17:23:09+00,32.10030533,-85.71265535,1526,,45,,Bullock,01011,"Bullock, Alabama, US",15107.4151074151,,,84001011,USA
-86.68057478,31.7530009500001,7,Alabama,US,2021/11/29 17:23:09+00,31.75300095,-86.68057478,3435,,100,,Butler,01013,"Butler, Alabama, US",17662.4845742493,,,84001013,USA
-85.8263038599999,33.77483727,8,Alabama,US,2021/11/29 17:23:09+00,33.77483727,-85.82630386,22586,,518,,Calhoun,01015,"Calhoun, Alabama, US",19881.1672021478,,,84001015,USA
-85.39072749,32.91360079,9,Alabama,US,2021/11/29 17:23:09+00,32.91360079,-85.39072749,5784,,142,,Chambers,01017,"Chambers, Alabama, US",17393.3962831539,,,84001017,USA
-85.60638968,34.1780598300001,10,Alabama,US,2021/11/29 17:23:09+00,34.17805983,-85.60638968,3178,,63,,Cherokee,01019,"Cherokee, Alabama, US",12131.6231485723,,,84001019,USA
-86.7173256,32.85044126,11,Alabama,US,2021/11/29 17:23:09+00,32.85044126,-86.7173256,7018,,170,,Chilton,01021,"Chilton, Alabama, US",15796.3446475196,,,84001021,USA
